j       a
u       ai
m       ann
l       i
.       inn
h       u
y       uu
n       unn
;       e
p       ei
/       enn
k       o
i       ou
,       onn
f       k
d       s
s       t
a       n
t       h
r       m
g       y
e       r
w       w
v       g
c       z
x       d
b       b
z       p
df      x
ds      v
da      f
fd      ky
dg      sy
sg      ch
st      th
ag      ny
td      hy
rd      my
eg      ry
vd      gy
cg      zy
xg      dy
xt      dh
bd      by
zg      py
:       -
o       .
O       ,
d:      nn
do      xtu
[       「
]       」
c[      【
c]      】
c@      ◆
co      ・
c:      ・・・
z]      ⇒
x:      ：
x?      ？
x!      ！
x_      　
x-      —
x~      〜
